CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CC23-1119,7/20/2023 12:00:00 AM,8/24/2023 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2445 MESQUITE LN,CORONA,CA,92882,1,1
CE06-1318,12/29/2006 12:00:00 AM,12/29/2006 12:00:00 AM,CODE ENFORCEMENT,PROP,1561 SAN CLEMENTE LN     ,,,,1,1
CE09-0936,7/22/2009 12:00:00 AM,9/10/2009 12:00:00 AM,CODE ENFORCEMENT,PROP,2445 MESQUITE LN     ,,,,1,1
CE17-0179,3/1/2017 12:00:00 AM,3/31/2017 12:00:00 AM,CODE ENFORCEMENT,,2445 MESQUITE LN ,,,,1,1
CE19-0755,7/1/2019 12:00:00 AM,7/10/2019 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2609 STAR CREST LN,CORONA,CA,92881,1,1
CE22-0509,4/26/2022 12:00:00 AM,5/3/2022 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,2445 MESQUITE LN,CORONA,CA,92882,1,1
CE11-0628,6/23/2011 12:00:00 AM,7/15/2011 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL #208,,,,1,1
CE09-1536,12/3/2009 12:00:00 AM,12/19/2009 12:00:00 AM,CODE ENFORCEMENT,SIGN,370 W GRAND BL     ,,,,1,1
CE15-0601,6/25/2015 12:00:00 AM,8/4/2015 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL ,,,,1,1
CE14-1238,10/20/2014 12:00:00 AM,11/20/2014 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL ,,,,1,1
CE16-0094,1/25/2016 12:00:00 AM,1/25/2016 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL #206,,,,1,1
CE16-0141,2/9/2016 12:00:00 AM,4/28/2016 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL #206,,,,1,1
CE18-0224,2/27/2018 12:00:00 AM,6/21/2018 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,370 W GRAND BL,CORONA,CA,92882,1,1
CE17-0126,2/11/2017 12:00:00 AM,2/11/2017 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL #206,,,,1,1
CE16-0914,7/13/2016 12:00:00 AM,8/29/2016 12:00:00 AM,CODE ENFORCEMENT,,370 W GRAND BL ,,,,1,1
CE19-0155,2/11/2019 12:00:00 AM,3/2/2019 12:00:00 AM,CODE ENFORCEMENT,SIGN OR BANNER VIOLATION,370 W GRAND BL Unit 203,CORONA,CA,92882,1,1
